Network Code	Station Code	Location Code	Stream Name	Longitude	Latitude	Altitude	Local Depth	Total Gain	Sampling Rate	Datalogger	Datalogger S/N	Seismometer	Seismometer S/N	Start Year	End Year	
GE	MMRI	--	BHE	+122.2376	-08.6357	   137.00	     3.00	629145000.0	20.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:STS-2/N/g=1500	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	BHN	+122.2376	-08.6357	   137.00	     3.00	629145000.0	20.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:STS-2/N/g=1500	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	BHZ	+122.2376	-08.6357	   137.00	     3.00	629145000.0	20.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:STS-2/N/g=1500	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	BLE	+122.2376	-08.6357	   137.00	     3.00	427566.942	20.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:FBA-EST/10.0/g=1	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	BLN	+122.2376	-08.6357	   137.00	     3.00	427566.942	20.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:FBA-EST/10.0/g=1	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	BLZ	+122.2376	-08.6357	   137.00	     3.00	427566.942	20.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:FBA-EST/10.0/g=1	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	HHE	+122.2376	-08.6357	   137.00	     3.00	629145000.0	100.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:STS-2/N/g=1500	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	HHN	+122.2376	-08.6357	   137.00	     3.00	629145000.0	100.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:STS-2/N/g=1500	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	HHZ	+122.2376	-08.6357	   137.00	     3.00	629145000.0	100.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:STS-2/N/g=1500	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	HLE	+122.2376	-08.6357	   137.00	     3.00	427566.942	100.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:FBA-EST/10.0/g=1	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	HLN	+122.2376	-08.6357	   137.00	     3.00	427566.942	100.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:FBA-EST/10.0/g=1	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	HLZ	+122.2376	-08.6357	   137.00	     3.00	427566.942	100.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:FBA-EST/10.0/g=1	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	LHE	+122.2376	-08.6357	   137.00	     3.00	629145000.0	1.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:STS-2/N/g=1500	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	LHN	+122.2376	-08.6357	   137.00	     3.00	629145000.0	1.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:STS-2/N/g=1500	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	LHZ	+122.2376	-08.6357	   137.00	     3.00	629145000.0	1.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:STS-2/N/g=1500	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	LLE	+122.2376	-08.6357	   137.00	     3.00	427566.942	1.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:FBA-EST/10.0/g=1	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	LLN	+122.2376	-08.6357	   137.00	     3.00	427566.942	1.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:FBA-EST/10.0/g=1	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	LLZ	+122.2376	-08.6357	   137.00	     3.00	427566.942	1.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:FBA-EST/10.0/g=1	yyyy	2006-11-09 00:00:00		
GE	MMRI	--	SHE	+122.2376	-08.6357	   137.00	     3.00	629145000.0	50.0	GFZ:GE1993:Q330/N/g=419430	xxxx	GFZ:GE1993:STS-2/N/g=1500	yyyy	2006-11-09 00:00:00		
