#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=AUSPASS,http://auspass.edu.au/
YS|ALRB||BH1|-8.2194|124.4115|69.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-11T00:00:00|2016-11-23T02:22:58
YS|ALRB||BH1|-8.2194|124.4115|69.0|0.0|90.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-23T02:22:59|2019-02-11T10:20:29
YS|ALRB||BH2|-8.2194|124.4115|69.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-11T00:00:00|2016-11-23T02:22:58
YS|ALRB||BH2|-8.2194|124.4115|69.0|0.0|0.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-23T02:22:59|2019-02-11T10:20:29
YS|ALRB||BHZ|-8.2194|124.4115|69.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-11T00:00:00|2016-11-23T02:22:58
YS|ALRB||BHZ|-8.2194|124.4115|69.0|0.0|0.0|90.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-23T02:22:59|2019-02-11T10:20:29
YS|BAOP||BH1|-8.4882|123.2696|67.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-10-31T00:00:00|2016-12-31T23:59:59
YS|BAOP||BH2|-8.4882|123.2696|67.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-10-31T00:00:00|2016-12-31T23:59:59
YS|BAOP||BHZ|-8.4882|123.2696|67.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-10-31T00:00:00|2016-12-31T23:59:59
YS|BKOR||BH1|-8.4868|122.5509|83.0|0.0|0.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-28T00:00:00|2016-12-31T23:59:59
